CustomerID,Lookalikes
C0001,"[('C0181', 0.9900697503388133), ('C0048', 0.9897026113936429), ('C0148', 0.9882558196738342)]"
C0002,"[('C0106', 0.989968212296599), ('C0088', 0.9887661880501413), ('C0054', 0.9863079530437288)]"
C0003,"[('C0052', 0.9889836027764454), ('C0025', 0.9887614211769162), ('C0031', 0.9877341121415766)]"
C0004,"[('C0165', 0.9875603664619463), ('C0169', 0.9868579124485845), ('C0087', 0.983616624146599)]"
C0005,"[('C0186', 0.998677238706802), ('C0140', 0.9937257133794583), ('C0007', 0.9908004055108968)]"
C0006,"[('C0036', 0.9955057727727545), ('C0187', 0.9929756044482247), ('C0168', 0.9888783839773351)]"
C0007,"[('C0186', 0.9954238491050265), ('C0005', 0.9908004055108968), ('C0140', 0.9869780476960756)]"
C0008,"[('C0065', 0.9890115308948467), ('C0113', 0.9873149288738502), ('C0104', 0.9788424772604077)]"
C0009,"[('C0198', 0.9878102326123388), ('C0061', 0.9834744784056004), ('C0042', 0.9769457620125038)]"
C0010,"[('C0068', 0.991541420320064), ('C0102', 0.9872036537914265), ('C0065', 0.9850639113581484)]"
C0011,"[('C0126', 0.9964913464123202), ('C0137', 0.9940287952513029), ('C0191', 0.9939806111328083)]"
C0012,"[('C0195', 0.9967422768790153), ('C0072', 0.9961912669466176), ('C0104', 0.9941446160269792)]"
C0013,"[('C0099', 0.9944403241431155), ('C0108', 0.9934774308055897), ('C0030', 0.9882233615243718)]"
C0014,"[('C0097', 0.9857366969259155), ('C0110', 0.9790633184062557), ('C0080', 0.9403888553521841)]"
C0015,"[('C0185', 0.9780295197256283), ('C0085', 0.9724809261251258), ('C0063', 0.9699750204197246)]"
C0016,"[('C0183', 0.9826215738463059), ('C0103', 0.9809955203759139), ('C0061', 0.9783322006073469)]"
C0017,"[('C0041', 0.9934218711541981), ('C0075', 0.9914794179733241), ('C0156', 0.9875170045367284)]"
C0018,"[('C0087', 0.9895507139511158), ('C0046', 0.9855332164856196), ('C0082', 0.9782688219054886)]"
C0019,"[('C0139', 0.9900075389826642), ('C0024', 0.9794140756629883), ('C0064', 0.9770954623396324)]"
C0020,"[('C0130', 0.977277260474227), ('C0198', 0.9331684860635004), ('C0120', 0.9296869767746703)]"
